TARGET_FLAG,TARGET_AMT,AGE,BLUEBOOK,CAR_AGE,CAR_TYPE,CAR_USE,CLM_FREQ,EDUCATION,HOMEKIDS,HOME_VAL,INCOME,JOB,KIDSDRIV,MSTATUS,MVR_PTS,OLDCLAIM,PARENT1,RED_CAR,REVOKED,SEX,TIF,TRAVTIME,URBANICITY,YOJ,CAR_TYPE_Minivan,CAR_TYPE_PanelTruck,CAR_TYPE_Pickup,CAR_TYPE_SUV,CAR_TYPE_SportsCar,CAR_TYPE_Van,CAR_USE_Commercial,CAR_USE_Private,EDUCATION_<HighSchool,EDUCATION_Bachelors,EDUCATION_HighSchool,EDUCATION_Masters,EDUCATION_PhD,JOB_BlueCollar,JOB_Clerical,JOB_Doctor,JOB_HomeMaker,JOB_Lawyer,JOB_Manager,JOB_NotInf,JOB_Professional,JOB_Student,KIDSDRIV_0,KIDSDRIV_1,MSTATUS_No,MSTATUS_Yes,PARENT1_No,PARENT1_Yes,RED_CAR_No,RED_CAR_Yes,REVOKED_No,REVOKED_Yes,SEX_F,SEX_M,URBANICITY_Rural,URBANICITY_Urban
0,0.0,55.0,17600,9.0,Van,Commercial,2,Bachelors,0,180232.0,59162.0,Manager,0,Yes,3,5028,No,Yes,Yes,M,7,25,Urban,11.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1
1,1267.0,53.0,28340,10.0,PanelTruck,Commercial,0,PhD,0,0.0,130795.0,NotInf,0,No,3,0,No,Yes,No,M,6,64,Urban,11.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1
1,2920.16732,45.0,6000,5.0,SUV,Private,0,<HighSchool,0,106859.0,0.0,HomeMaker,0,Yes,3,0,No,No,No,F,1,48,Urban,0.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,39.0,10590,13.0,SUV,Private,0,Bachelors,3,180951.0,51884.0,Clerical,0,No,0,0,Yes,No,No,F,6,43,Rural,12.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
0,0.0,42.0,14190,16.0,Minivan,Private,0,Masters,0,192207.0,59945.0,Lawyer,0,Yes,0,0,No,No,No,M,6,42,Urban,11.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1
0,0.0,34.0,8300,20.0,SUV,Private,0,Masters,3,91875.0,34019.0,Lawyer,0,Yes,0,0,No,No,No,F,7,27,Urban,13.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,31.0,17330,7.0,Minivan,Private,0,<HighSchool,2,93797.0,18903.0,Clerical,0,Yes,0,0,No,No,No,F,4,48,Urban,12.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
1,6857.0,28.0,8710,1.0,SUV,Commercial,2,HighSchool,1,170598.0,44077.0,BlueCollar,0,Yes,0,8935,No,No,No,F,6,29,Urban,13.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,48.0,11130,14.0,SUV,Private,1,Masters,0,282904.0,96274.0,Lawyer,0,Yes,5,8250,No,No,No,F,6,36,Urban,14.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,47.0,19700,5.0,Minivan,Private,0,<HighSchool,0,0.0,46281.0,BlueCollar,0,No,1,0,No,No,No,F,10,29,Urban,11.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0.0,44.0,5900,11.0,SUV,Private,3,HighSchool,2,82344.0,0.0,HomeMaker,1,Yes,0,3338,No,No,No,F,6,8,Urban,0.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,33.0,16830,15.0,SUV,Private,0,Bachelors,1,225962.0,79606.0,Professional,0,Yes,2,0,No,No,No,F,9,27,Rural,13.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
1,4486.0,32.0,10030,1.0,SUV,Private,0,HighSchool,1,118160.0,31275.0,Clerical,0,Yes,0,0,No,No,No,F,1,26,Urban,9.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,44.0,22090,12.0,Minivan,Private,0,Bachelors,2,219378.0,45488.0,Manager,1,Yes,0,0,No,No,No,M,17,16,Urban,17.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1
0,0.0,35.0,12220,12.0,SUV,Private,0,Bachelors,0,0.0,72193.0,Clerical,0,No,3,0,No,No,No,F,6,26,Urban,8.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0.0,49.0,15880,1.0,Minivan,Private,0,Bachelors,0,163444.0,49244.0,Clerical,0,Yes,1,0,No,No,No,M,1,30,Urban,5.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1
0,0.0,52.0,1500,10.0,SUV,Private,0,Bachelors,0,230340.0,51278.0,Professional,0,Yes,1,0,No,No,No,F,4,37,Urban,8.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,41.0,25810,15.0,PanelTruck,Commercial,2,Masters,0,286113.0,92842.0,NotInf,0,No,5,1431,No,No,No,M,6,12,Urban,7.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
0,0.0,39.0,16640,13.0,Van,Commercial,0,Bachelors,0,202839.0,35081.0,BlueCollar,0,Yes,0,0,No,Yes,No,M,4,38,Urban,10.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
0,0.0,56.0,13220,12.0,Minivan,Private,0,PhD,0,63827.0,0.0,HomeMaker,0,Yes,0,0,No,No,No,F,1,65,Rural,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
0,0.0,49.0,17900,14.0,Minivan,Private,0,PhD,0,311980.0,115044.0,Doctor,0,No,0,0,No,No,No,F,1,18,Urban,12.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0.0,38.0,12080,9.0,SUV,Private,0,HighSchool,0,138823.0,37754.0,Clerical,0,Yes,2,0,No,No,No,F,1,47,Rural,11.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
0,0.0,43.0,29450,15.0,Van,Commercial,0,Masters,2,418785.0,145353.0,NotInf,0,Yes,0,0,No,No,No,F,6,38,Urban,17.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,63.0,16270,11.0,SUV,Private,0,PhD,0,343410.0,121398.0,Doctor,0,Yes,0,0,No,No,No,F,1,10,Urban,15.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,52.0,9280,6.0,SUV,Commercial,0,HighSchool,0,87925.0,0.0,Student,0,No,1,0,No,No,No,F,1,48,Rural,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,0.0,35.0,6450,7.0,Pickup,Commercial,0,Bachelors,0,0.0,14508.0,Student,0,Yes,0,0,No,No,No,M,1,22,Urban,7.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1
0,0.0,43.0,23080,8.0,SportsCar,Private,0,Bachelors,0,270555.0,75338.0,Manager,0,Yes,0,0,No,No,No,F,1,40,Urban,13.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,41.0,20120,1.0,Minivan,Private,0,HighSchool,0,0.0,32774.0,Clerical,0,No,0,0,No,No,No,F,4,44,Rural,10.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,0.0,40.0,29270,5.0,PanelTruck,Commercial,0,Bachelors,0,186418.0,57474.0,Clerical,0,Yes,1,0,No,Yes,No,M,4,5,Urban,11.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
0,0.0,31.0,4600,5.0,Minivan,Commercial,0,Bachelors,1,154493.0,26520.0,Student,0,Yes,2,0,No,Yes,No,M,6,62,Urban,12.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1
0,0.0,47.0,19450,8.421163850860626,SUV,Commercial,2,HighSchool,0,0.0,18444.0,Student,0,Yes,5,2981,No,No,No,F,6,35,Urban,8.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,53.0,29230,15.0,Minivan,Private,0,Masters,0,343700.0,107259.0,Professional,0,Yes,0,0,No,Yes,No,M,10,36,Urban,11.153763702999479,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
0,0.0,39.0,4040,5.0,SUV,Private,0,HighSchool,3,183383.0,34046.0,Clerical,0,Yes,0,0,No,No,No,F,6,33,Rural,7.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
0,0.0,33.0,12270,1.0,Minivan,Private,0,<HighSchool,3,152894.0,32364.0,Clerical,0,Yes,3,0,No,Yes,No,M,18,40,Urban,14.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
1,6100.0,40.0,12230,6.0,Pickup,Commercial,1,<HighSchool,0,0.0,16989.0,BlueCollar,0,No,13,26104,No,Yes,Yes,M,4,20,Urban,11.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
1,8840.683568299999,44.0,10520,1.0,SUV,Private,1,HighSchool,2,134164.0,16352.0,HomeMaker,0,Yes,1,7838,No,No,No,F,1,37,Urban,15.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,56.0,21770,6.0,Minivan,Private,0,Bachelors,0,164852.0,44760.0,Manager,0,Yes,0,0,No,Yes,No,M,13,30,Urban,16.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
1,2117.0,45.0,32340,13.0,Van,Private,2,Masters,1,196368.0,63952.0,Lawyer,1,Yes,0,27877,No,No,Yes,F,6,50,Urban,14.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
1,3532.0,44.0,14220,10.0,Minivan,Private,0,Bachelors,2,0.0,24060.0,Clerical,1,No,0,0,Yes,No,No,M,4,24,Urban,10.50683256301193,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1
1,866.0,33.0,6880,1.0,SUV,Private,3,HighSchool,4,76022.0,20822.0,HomeMaker,0,Yes,0,7896,No,No,No,F,13,46,Urban,12.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,32.0,10040,8.0,SUV,Private,0,HighSchool,3,146784.0,54968.0,Professional,0,Yes,0,0,No,No,Yes,F,4,20,Urban,14.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1
1,7786.0,34.0,2920,10.0,SportsCar,Private,3,<HighSchool,0,87034.0,14194.0,Clerical,0,No,2,24767,No,No,Yes,F,4,13,Urban,8.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,0.0,38.0,22690,1.0,Pickup,Private,0,<HighSchool,4,72889.0,2149.0,HomeMaker,1,Yes,2,0,No,No,No,F,10,35,Urban,12.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1
1,4148.0,43.0,19510,15.0,SportsCar,Private,3,Masters,3,0.0,137103.0,Manager,1,No,0,8890,Yes,No,No,F,1,29,Urban,11.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
0,0.0,46.0,14050,11.0,Minivan,Private,0,Bachelors,0,0.0,79538.0,Manager,0,No,2,0,No,No,Yes,F,3,13,Urban,10.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,0.0,45.0,10250,20.0,SUV,Private,3,PhD,1,509115.0,185836.0,Lawyer,0,Yes,6,4307,No,No,No,F,1,28,Urban,11.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,45.0,10910,8.35156977479186,Pickup,Commercial,2,Masters,0,213530.0,61931.0,NotInf,0,Yes,0,25106,No,Yes,No,M,13,30,Urban,11.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
0,0.0,63.0,27600,18.0,SUV,Private,0,PhD,0,0.0,74426.0,Doctor,0,No,0,0,No,No,No,F,1,11,Urban,9.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0.0,44.0,23640,1.0,Minivan,Private,0,Bachelors,0,231034.0,74722.0,Professional,0,Yes,0,0,No,No,No,F,6,9,Urban,9.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
1,2371.0,45.0,1500,11.0,Minivan,Private,0,Bachelors,2,0.0,102393.0,Professional,1,No,2,0,Yes,Yes,No,M,1,25,Urban,11.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
0,0.0,48.0,8660,8.12499008484667,SportsCar,Private,2,HighSchool,0,98920.0,0.0,HomeMaker,0,Yes,3,8363,No,No,No,F,3,50,Urban,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,35.0,4860,1.0,SportsCar,Private,0,<HighSchool,0,0.0,29371.0,Clerical,0,No,0,0,No,No,No,F,10,49,Urban,9.753235464448583,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,1354.0,48.0,9640,1.0,Pickup,Commercial,1,HighSchool,0,165090.0,31773.0,Clerical,0,Yes,4,1212,No,No,No,M,13,14,Urban,12.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1
0,0.0,49.0,6400,14.0,SUV,Private,1,Masters,0,159389.0,0.0,Professional,0,Yes,6,9115,No,No,No,F,10,42,Urban,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,44.0,22050,1.0,SportsCar,Commercial,0,HighSchool,2,316900.0,139330.0,BlueCollar,0,No,0,0,Yes,No,No,F,10,35,Rural,15.0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
0,0.0,50.0,22830,14.0,Minivan,Private,0,PhD,0,447616.0,163296.0,Lawyer,0,No,0,0,No,No,No,F,1,42,Rural,13.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,0.0,30.0,12380,6.0,Minivan,Private,0,<HighSchool,1,140978.0,17455.0,BlueCollar,0,No,0,0,Yes,No,No,F,13,50,Rural,10.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
0,0.0,54.0,14000,11.0,Minivan,Private,0,Bachelors,0,240833.0,71007.0,Manager,0,Yes,0,0,No,No,No,M,6,61,Urban,11.104164265731214,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1
1,2425.0,53.0,13140,1.0,SUV,Commercial,0,HighSchool,0,153381.0,38036.0,BlueCollar,0,Yes,4,0,No,No,No,F,1,32,Urban,6.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,53.0,15360,8.0,SUV,Private,0,Bachelors,0,150933.0,41199.0,Manager,0,No,0,0,No,No,No,F,1,21,Urban,13.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0.0,29.0,15160,1.0,Minivan,Private,0,HighSchool,1,202967.0,38042.0,Professional,0,No,0,0,Yes,No,No,M,6,15,Urban,10.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
0,0.0,58.0,10620,9.796843681383862,Pickup,Private,0,Masters,0,0.0,91223.0,Lawyer,0,No,0,0,No,No,No,M,6,23,Urban,11.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
0,0.0,55.0,19380,13.0,Minivan,Private,0,Masters,0,173196.0,45787.0,Lawyer,0,Yes,0,0,No,No,No,F,6,5,Urban,7.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,55.0,5760,11.0,Pickup,Commercial,2,Bachelors,0,227091.0,84964.0,BlueCollar,0,Yes,6,969,No,Yes,No,M,1,21,Urban,11.161230787038747,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
0,0.0,56.0,16220,9.42173809388586,SUV,Private,0,HighSchool,0,190675.0,38240.0,Clerical,0,Yes,0,0,No,No,No,F,4,28,Rural,8.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
0,0.0,34.0,18110,15.0,Van,Private,2,Masters,0,0.0,51565.0,Lawyer,0,No,3,759,No,Yes,No,M,1,36,Urban,11.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1
1,5711.0,34.0,11740,1.0,SUV,Private,2,HighSchool,3,66358.0,0.0,HomeMaker,0,Yes,2,1800,No,No,No,F,9,25,Urban,0.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,36.0,13800,17.0,Minivan,Private,3,Masters,0,267509.0,105384.0,Professional,0,Yes,4,31695,No,Yes,Yes,M,7,24,Urban,11.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1
1,13105.327626,41.0,12230,9.0,Minivan,Private,0,Masters,0,159276.0,66265.0,Lawyer,0,Yes,1,0,No,Yes,No,M,4,59,Urban,10.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
0,0.0,42.0,23390,14.0,PanelTruck,Commercial,0,Bachelors,0,217920.0,76226.0,BlueCollar,0,Yes,0,0,No,Yes,No,M,13,18,Urban,9.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
0,0.0,38.0,8080,8.0,Pickup,Private,0,<HighSchool,3,113809.0,7528.0,Clerical,1,Yes,0,0,No,Yes,No,M,1,26,Rural,16.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,7838.0,33.0,15090,5.0,Minivan,Commercial,1,HighSchool,4,0.0,0.0,Student,0,No,2,1631,Yes,Yes,No,M,1,14,Urban,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
0,0.0,42.0,21690,14.0,Minivan,Private,0,Masters,1,160661.0,32797.0,Lawyer,1,Yes,2,0,No,No,No,F,1,63,Urban,9.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1
1,5125.0,47.0,12840,10.0,SUV,Private,2,Bachelors,0,217885.0,44705.0,Professional,0,Yes,0,1533,No,No,No,F,1,50,Urban,11.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
